word,status,confidence,score,page,reason,hint,sort_order
база,suggested_answer,high,75,58,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,1
кабл,suggested_answer,high,75,500,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,2
бака,suggested_answer,high,75,59,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,3
кафа,suggested_answer,high,75,515,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,4
банк,suggested_answer,high,75,62,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,5
вага,suggested_answer,high,75,121,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,6
бања,suggested_answer,high,75,63,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,7
каша,suggested_answer,high,75,515,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,8
веза,suggested_answer,high,75,129,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,9
бара,suggested_answer,high,75,63,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,10
кеса,suggested_answer,high,75,519,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,11
вена,suggested_answer,high,75,133,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,12
дама,suggested_answer,high,75,233,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,13
папа,suggested_answer,high,75,898,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,14
беба,suggested_answer,high,75,67,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,15
киша,suggested_answer,high,75,523,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,16
вече,suggested_answer,high,85,138,grammar-marker|lowercase-entry|previous-line-closed,,17
деби,suggested_answer,high,77,244,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,18
пара,suggested_answer,high,75,899,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,19
мама,suggested_answer,high,75,662,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,20
бенд,suggested_answer,high,75,76,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,21
клас,suggested_answer,high,75,524,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,22
вила,suggested_answer,high,75,143,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,23
дека,suggested_answer,high,75,248,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,24
парк,suggested_answer,high,75,901,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,25
маса,suggested_answer,high,75,669,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,26
гипс,suggested_answer,high,75,185,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,27
лава,suggested_answer,high,75,609,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,28
сала,suggested_answer,high,75,1165,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,29
блеф,suggested_answer,high,87,91,inflection-after-comma|lowercase-entry|previous-line-closed,,30
клик,suggested_answer,high,75,527,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,31
вино,suggested_answer,high,75,143,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,32
депо,suggested_answer,high,77,256,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,33
паун,suggested_answer,high,85,906,grammar-marker|lowercase-entry|previous-line-closed,,34
месо,suggested_answer,high,75,688,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,35
глас,suggested_answer,high,75,189,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,36
лама,suggested_answer,high,75,613,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,37
село,suggested_answer,high,85,1191,grammar-marker|lowercase-entry|previous-line-closed,,38
оаза,suggested_answer,high,75,831,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,39
боја,suggested_answer,high,75,97,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,40
клуб,suggested_answer,high,75,530,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,41
вода,suggested_answer,high,75,152,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,42
дина,suggested_answer,high,75,269,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,43
перо,suggested_answer,high,75,910,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,44
мета,suggested_answer,high,75,689,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,45
голф,suggested_answer,high,75,201,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,46
лист,suggested_answer,high,75,633,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,47
сила,suggested_answer,high,75,1197,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,48
овал,suggested_answer,high,77,838,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,49
адут,suggested_answer,medium,55,21,lowercase-entry|previous-line-closed,,50
жаба,suggested_answer,high,75,350,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,51
зима,suggested_answer,high,75,420,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,52
игра,suggested_answer,high,75,430,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,53
нада,suggested_answer,high,75,746,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,54
рана,suggested_answer,high,75,1107,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,55
бокс,suggested_answer,high,75,98,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,56
кнез,suggested_answer,high,75,533,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,57
вођа,suggested_answer,high,75,155,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,58
длан,suggested_answer,high,75,276,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,59
пиво,suggested_answer,high,75,914,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,60
мода,suggested_answer,high,75,711,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,61
гора,suggested_answer,high,75,203,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,62
лице,suggested_answer,high,75,635,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,63
соба,suggested_answer,high,75,1229,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,64
овца,suggested_answer,high,75,839,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,65
азил,suggested_answer,high,77,22,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,66
жена,suggested_answer,high,75,354,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,67
знак,suggested_answer,high,75,424,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,68
идол,suggested_answer,high,77,431,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,69
нана,suggested_answer,high,75,767,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,70
риба,suggested_answer,high,75,1145,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,71
тема,suggested_answer,high,75,1288,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,72
брат,suggested_answer,high,75,104,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,73
кожа,suggested_answer,high,75,536,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,74
воља,suggested_answer,high,75,159,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,75
дрво,suggested_answer,high,77,305,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,76
план,suggested_answer,high,75,919,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,77
море,suggested_answer,high,75,719,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,78
град,suggested_answer,high,75,208,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,79
лоза,suggested_answer,high,75,638,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,80
сова,suggested_answer,high,75,1229,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,81
олук,suggested_answer,high,75,861,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,82
апел,suggested_answer,high,75,40,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,83
живо,suggested_answer,high,75,356,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,84
зора,suggested_answer,high,75,426,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,85
инат,suggested_answer,high,87,457,inflection-after-comma|lowercase-entry|previous-line-closed,,86
ниво,suggested_answer,high,77,821,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,87
ружа,suggested_answer,high,75,1154,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,88
тест,suggested_answer,high,75,1293,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,89
бука,suggested_answer,high,75,116,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,90
крај,suggested_answer,high,75,569,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,91
врат,suggested_answer,high,75,160,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,92
дуга,suggested_answer,high,85,315,grammar-marker|lowercase-entry|previous-line-closed,,93
плес,suggested_answer,high,75,921,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,94
мука,suggested_answer,high,75,730,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,95
грло,suggested_answer,high,75,216,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,96
луна,suggested_answer,high,75,644,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,97
срна,suggested_answer,high,75,1241,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,98
орах,suggested_answer,high,75,872,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,99
ауто,suggested_answer,high,85,52,grammar-marker|lowercase-entry|previous-line-closed,,100
жица,suggested_answer,high,75,358,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,101
зрак,suggested_answer,high,75,426,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,102
