word,status,confidence,score,page,reason,answer_candidate,hint,sort_order
аван,needs_review,high,75,18,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
авај,needs_review,high,75,18,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
ажио,needs_review,high,87,22,inflection-after-comma|lowercase-entry|previous-line-closed,yes,,
азил,needs_review,high,77,22,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
азот,needs_review,high,77,22,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
акна,needs_review,high,75,23,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
аков,needs_review,high,77,23,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
акут,needs_review,high,77,25,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
алав,needs_review,high,77,26,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
алал,needs_review,high,77,26,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
алва,needs_review,high,75,27,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
алга,needs_review,high,75,27,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
алем,needs_review,high,75,28,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
алка,needs_review,high,75,28,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
амин,needs_review,high,75,31,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
анис,needs_review,high,75,36,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
анус,needs_review,high,75,39,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
апел,needs_review,high,75,40,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
арго,needs_review,high,77,43,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
ареа,needs_review,high,75,44,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
арза,needs_review,high,75,44,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
ариш,needs_review,high,75,44,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
атак,needs_review,high,75,49,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
атар,needs_review,high,75,49,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
аула,needs_review,high,75,51,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
аура,needs_review,high,75,51,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
ауто,needs_review,high,85,52,grammar-marker|lowercase-entry|previous-line-closed,,,
афел,needs_review,high,75,54,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
афте,needs_review,high,75,55,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
ајнц,needs_review,high,75,22,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
ајој,needs_review,high,75,22,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
баба,needs_review,high,85,56,grammar-marker|lowercase-entry|previous-line-closed,,,
бабо,needs_review,high,87,56,inflection-after-comma|lowercase-entry|previous-line-closed,,,
бага,needs_review,high,75,56,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
база,needs_review,high,75,58,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бака,needs_review,high,75,59,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
бала,needs_review,high,75,60,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
бало,needs_review,high,77,61,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
банк,needs_review,high,75,62,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
бара,needs_review,high,75,63,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
бард,needs_review,high,75,64,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
барк,needs_review,high,75,64,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бата,needs_review,high,75,65,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бато,needs_review,high,77,66,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
баук,needs_review,high,75,66,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бајт,needs_review,high,75,59,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бајц,needs_review,high,75,59,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бања,needs_review,high,75,63,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
баџа,needs_review,high,77,67,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
беба,needs_review,high,75,67,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
беде,needs_review,high,75,68,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бена,needs_review,high,75,75,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бенд,needs_review,high,75,76,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
бене,needs_review,high,77,76,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
беса,needs_review,high,75,77,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бета,needs_review,high,75,81,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
биво,needs_review,high,77,82,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бижа,needs_review,high,75,83,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
било,needs_review,high,75,84,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бина,needs_review,high,75,84,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
биро,needs_review,high,77,85,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
биље,needs_review,high,75,84,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
биће,needs_review,high,75,88,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
