word,decision,source,page,confidence,status,reason,hint,sort_order
бебити,deferred,pdf_candidate,68,medium,needs_review,lowercase-entry|previous-line-closed,,
бизант,deferred,pdf_candidate,83,medium,needs_review,lowercase-entry|previous-line-closed,,
богзна,deferred,pdf_candidate,94,medium,needs_review,lowercase-entry|previous-line-closed,,
бодови,deferred,pdf_candidate,96,medium,needs_review,lowercase-entry|previous-line-closed,,
велика,deferred,pdf_candidate,339,medium,needs_review,lowercase-entry|previous-line-closed,,
верски,deferred,pdf_candidate,328,medium,needs_review,lowercase-entry|previous-line-closed,,
врлине,deferred,pdf_candidate,165,medium,needs_review,lowercase-entry|previous-line-closed,,
вунена,deferred,pdf_candidate,75,medium,needs_review,lowercase-entry|previous-line-closed,,
геокем,deferred,pdf_candidate,182,medium,needs_review,lowercase-entry|previous-line-closed,,
главно,deferred,pdf_candidate,187,medium,needs_review,lowercase-entry|previous-line-closed,,
главом,deferred,pdf_candidate,186,medium,needs_review,lowercase-entry|previous-line-closed,,
грбине,deferred,pdf_candidate,212,medium,needs_review,lowercase-entry|previous-line-closed,,
жидина,deferred,pdf_candidate,357,medium,needs_review,lowercase-entry|previous-line-closed,,
житара,deferred,pdf_candidate,358,medium,needs_review,lowercase-entry|previous-line-closed,,
жлезде,deferred,pdf_candidate,340,medium,needs_review,lowercase-entry|previous-line-closed,,
згорег,deferred,pdf_candidate,415,medium,needs_review,lowercase-entry|previous-line-closed,,
зелено,deferred,pdf_candidate,419,medium,needs_review,lowercase-entry|previous-line-closed,,
земљен,deferred,pdf_candidate,419,medium,needs_review,lowercase-entry|previous-line-closed,,
земљин,deferred,pdf_candidate,419,medium,needs_review,inflection-after-comma|previous-line-closed|ocr-noise-near-entry,,
избори,deferred,pdf_candidate,434,medium,needs_review,lowercase-entry|previous-line-closed,,
извана,deferred,pdf_candidate,435,medium,needs_review,lowercase-entry|previous-line-closed,,
иосшао,deferred,pdf_candidate,991,medium,needs_review,lowercase-entry|previous-line-closed,,
ириказ,deferred,pdf_candidate,1411,medium,needs_review,lowercase-entry|previous-line-closed,,
каснно,deferred,pdf_candidate,513,medium,needs_review,lowercase-entry|previous-line-closed,,
керећн,deferred,pdf_candidate,519,medium,needs_review,lowercase-entry|previous-line-closed,,
коитус,deferred,pdf_candidate,537,medium,needs_review,lowercase-entry|previous-line-closed,,
колики,deferred,pdf_candidate,540,medium,needs_review,lowercase-entry|previous-line-closed,,
колико,deferred,pdf_candidate,980,medium,needs_review,lowercase-entry|previous-line-closed,,
кратер,deferred,pdf_candidate,571,medium,needs_review,lowercase-entry|previous-line-closed,,
кружно,deferred,pdf_candidate,541,medium,needs_review,lowercase-entry|previous-line-closed,,
кћерка,deferred,pdf_candidate,595,medium,needs_review,lowercase-entry|previous-line-closed,,
лењиво,deferred,pdf_candidate,622,medium,needs_review,lowercase-entry|previous-line-closed,,
лирски,deferred,pdf_candidate,632,medium,needs_review,lowercase-entry|previous-line-closed,,
људска,deferred,pdf_candidate,937,medium,needs_review,lowercase-entry|previous-line-closed,,
љутито,deferred,pdf_candidate,650,medium,needs_review,lowercase-entry|previous-line-closed,,
малеус,deferred,pdf_candidate,660,medium,needs_review,lowercase-entry|previous-line-closed,,
мббник,deferred,pdf_candidate,711,medium,needs_review,lowercase-entry|previous-line-closed,,
менљив,deferred,pdf_candidate,685,medium,needs_review,lowercase-entry|previous-line-closed,,
мерљив,deferred,pdf_candidate,687,medium,needs_review,lowercase-entry|previous-line-closed,,
мислен,deferred,pdf_candidate,702,medium,needs_review,lowercase-entry|previous-line-closed,,
младеж,deferred,pdf_candidate,705,medium,needs_review,lowercase-entry|previous-line-closed,,
млачно,deferred,pdf_candidate,707,medium,needs_review,lowercase-entry|previous-line-closed,,
мразно,deferred,pdf_candidate,723,medium,needs_review,lowercase-entry|previous-line-closed,,
мртвеж,deferred,pdf_candidate,728,medium,needs_review,lowercase-entry|previous-line-closed,,
нагоре,deferred,pdf_candidate,744,medium,needs_review,lowercase-entry|previous-line-closed,,
надаље,deferred,pdf_candidate,746,medium,needs_review,lowercase-entry|previous-line-closed,,
надоле,deferred,pdf_candidate,751,medium,needs_review,lowercase-entry|previous-line-closed,,
нбжице,deferred,pdf_candidate,826,medium,needs_review,lowercase-entry|previous-line-closed,,
нељуди,deferred,pdf_candidate,804,medium,needs_review,lowercase-entry|previous-line-closed,,
његово,deferred,pdf_candidate,1184,medium,needs_review,lowercase-entry|previous-line-closed,,
обадва,deferred,pdf_candidate,831,medium,needs_review,lowercase-entry|previous-line-closed,,
обично,deferred,pdf_candidate,834,medium,needs_review,lowercase-entry|previous-line-closed,,
обласш,deferred,pdf_candidate,130,medium,needs_review,lowercase-entry|previous-line-closed,,
овално,deferred,pdf_candidate,838,medium,needs_review,lowercase-entry|previous-line-closed,,
одонуд,deferred,pdf_candidate,849,medium,needs_review,lowercase-entry|previous-line-closed,,
омошач,deferred,pdf_candidate,437,medium,needs_review,lowercase-entry|previous-line-closed,,
ониско,deferred,pdf_candidate,863,medium,needs_review,lowercase-entry|previous-line-closed,,
осмеро,deferred,pdf_candidate,879,medium,needs_review,lowercase-entry|previous-line-closed,,
осшаши,deferred,pdf_candidate,434,medium,needs_review,lowercase-entry|previous-line-closed,,
ошшрим,deferred,pdf_candidate,409,medium,needs_review,lowercase-entry|previous-line-closed,,
патина,deferred,pdf_candidate,904,medium,needs_review,lowercase-entry|previous-line-closed,,
печење,deferred,pdf_candidate,914,medium,needs_review,lowercase-entry|previous-line-closed,,
плитко,deferred,pdf_candidate,922,medium,needs_review,lowercase-entry|previous-line-closed,,
пљосно,deferred,pdf_candidate,924,medium,needs_review,lowercase-entry|previous-line-closed,,
пониже,deferred,pdf_candidate,959,medium,needs_review,lowercase-entry|previous-line-closed,,
поради,deferred,pdf_candidate,962,medium,needs_review,lowercase-entry|previous-line-closed,,
пргаво,deferred,pdf_candidate,987,medium,needs_review,lowercase-entry|previous-line-closed,,
прозно,deferred,pdf_candidate,1047,medium,needs_review,lowercase-entry|previous-line-closed,,
против,deferred,pdf_candidate,1063,medium,needs_review,lowercase-entry|previous-line-closed,,
пудљив,deferred,pdf_candidate,1074,medium,needs_review,lowercase-entry|previous-line-closed,,
ранљив,deferred,pdf_candidate,1108,medium,needs_review,lowercase-entry|previous-line-closed,,
реално,deferred,pdf_candidate,1126,medium,needs_review,lowercase-entry|previous-line-closed,,
речито,deferred,pdf_candidate,1144,medium,needs_review,lowercase-entry|previous-line-closed,,
римско,deferred,pdf_candidate,982,medium,needs_review,lowercase-entry|previous-line-closed,,
сазути,deferred,pdf_candidate,1164,medium,needs_review,lowercase-entry|previous-line-closed,,
санано,deferred,pdf_candidate,1170,medium,needs_review,lowercase-entry|previous-line-closed,,
сасшав,deferred,pdf_candidate,1299,medium,needs_review,lowercase-entry|previous-line-closed,,
свежањ,deferred,pdf_candidate,1177,medium,needs_review,lowercase-entry|previous-line-closed,,
свеопћ,deferred,pdf_candidate,1178,medium,needs_review,lowercase-entry|previous-line-closed,,
свесно,deferred,pdf_candidate,1178,medium,needs_review,lowercase-entry|previous-line-closed,,
свикло,deferred,pdf_candidate,1182,medium,needs_review,lowercase-entry|previous-line-closed,,
сеоска,deferred,pdf_candidate,940,medium,needs_review,lowercase-entry|previous-line-closed,,
