word,status,confidence,score,page,reason,hint,sort_order
абажур,needs_review,high,77,17,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
авизни,needs_review,high,77,18,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
ажуран,needs_review,high,77,22,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
азотни,needs_review,high,77,22,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
аксиом,needs_review,high,87,24,inflection-after-comma|lowercase-entry|previous-line-closed,,
алемов,needs_review,high,77,28,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
аловит,needs_review,high,87,29,inflection-after-comma|lowercase-entry|previous-line-closed,,
алпски,needs_review,high,77,29,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
аматер,needs_review,high,87,30,inflection-after-comma|lowercase-entry|previous-line-closed,,
анасон,needs_review,high,87,34,inflection-after-comma|lowercase-entry|previous-line-closed,,
анодни,needs_review,high,77,36,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
апетит,needs_review,high,77,40,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
арапче,needs_review,high,79,43,inflection-after-comma|previous-line-closed,,
арњеви,needs_review,high,77,45,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
атаман,needs_review,high,77,49,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
атички,needs_review,high,77,50,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
ауреол,needs_review,high,87,51,inflection-after-comma|lowercase-entry|previous-line-closed,,
афелни,needs_review,high,77,54,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
ахнути,needs_review,high,77,55,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
ацетат,needs_review,high,77,55,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
ацетон,needs_review,high,77,55,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
бабаст,needs_review,high,87,56,inflection-after-comma|lowercase-entry|previous-line-closed,,
багрен,needs_review,high,77,57,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
бадљав,needs_review,high,77,57,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
бадњић,needs_review,high,77,57,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
баждар,needs_review,high,77,57,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
бакрач,needs_review,high,87,59,inflection-after-comma|lowercase-entry|previous-line-closed,,
балити,needs_review,high,77,61,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
балски,needs_review,high,77,61,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
бангав,needs_review,high,77,62,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
бандит,needs_review,high,87,62,inflection-after-comma|lowercase-entry|previous-line-closed,,
банкар,needs_review,high,77,62,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
банкет,needs_review,high,77,63,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
бански,needs_review,high,77,63,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
бањски,needs_review,high,77,63,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
бапски,needs_review,high,77,63,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
барбар,needs_review,high,87,64,inflection-after-comma|lowercase-entry|previous-line-closed,,
барбун,needs_review,high,77,64,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
басати,needs_review,high,77,65,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
бауљав,needs_review,high,77,66,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
бацати,needs_review,high,77,66,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,
