word,decision,source,page,confidence,status,reason,hint,sort_order
азотов,approved,pdf_candidate,22,medium,needs_review,lowercase-entry|previous-line-closed,,
аполон,approved,pdf_candidate,41,medium,needs_review,inflection-after-comma|previous-line-closed|ocr-noise-near-entry,,
аскеза,approved,pdf_candidate,48,medium,needs_review,lowercase-entry|previous-line-closed,,
бавити,approved,pdf_candidate,1082,medium,needs_review,lowercase-entry|previous-line-closed,,
базало,approved,pdf_candidate,58,medium,needs_review,lowercase-entry|previous-line-closed,,
бакрен,approved,pdf_candidate,59,medium,needs_review,lowercase-entry|previous-line-closed,,
бакута,approved,pdf_candidate,60,medium,needs_review,lowercase-entry|previous-line-closed,,
банити,approved,pdf_candidate,62,medium,needs_review,lowercase-entry|previous-line-closed,,
баница,approved,pdf_candidate,62,medium,needs_review,lowercase-entry|previous-line-closed,,
бантам,approved,pdf_candidate,63,medium,needs_review,lowercase-entry|previous-line-closed,,
бармен,approved,pdf_candidate,64,medium,needs_review,lowercase-entry|previous-line-closed,,
баскет,approved,pdf_candidate,65,medium,needs_review,lowercase-entry|previous-line-closed,,
бацити,approved,pdf_candidate,856,medium,needs_review,lowercase-entry|previous-line-closed,,
белити,approved,pdf_candidate,74,medium,needs_review,lowercase-entry|previous-line-closed,,
белоња,approved,pdf_candidate,75,medium,needs_review,lowercase-entry|previous-line-closed,,
белцат,approved,pdf_candidate,75,medium,needs_review,lowercase-entry|previous-line-closed,,
беочуг,approved,pdf_candidate,76,medium,needs_review,lowercase-entry|previous-line-closed,,
бербер,approved,pdf_candidate,77,medium,needs_review,lowercase-entry|previous-line-closed,,
бесник,approved,pdf_candidate,79,medium,needs_review,lowercase-entry|previous-line-closed,,
бечити,approved,pdf_candidate,81,medium,needs_review,lowercase-entry|previous-line-closed,,
биланс,approved,pdf_candidate,83,medium,needs_review,lowercase-entry|previous-line-closed,,
блеђан,approved,pdf_candidate,91,medium,needs_review,lowercase-entry|previous-line-closed,,
блесак,approved,pdf_candidate,91,medium,needs_review,lowercase-entry|previous-line-closed,,
блесан,approved,pdf_candidate,91,medium,needs_review,lowercase-entry|previous-line-closed,,
блефер,approved,pdf_candidate,91,medium,needs_review,lowercase-entry|previous-line-closed,,
богиља,approved,pdf_candidate,94,medium,needs_review,lowercase-entry|previous-line-closed,,
болник,approved,pdf_candidate,99,medium,needs_review,lowercase-entry|previous-line-closed,,
бољети,approved,pdf_candidate,99,medium,needs_review,lowercase-entry|previous-line-closed,,
бонаца,approved,pdf_candidate,100,medium,needs_review,lowercase-entry|previous-line-closed,,
боракс,approved,pdf_candidate,100,medium,needs_review,lowercase-entry|previous-line-closed,,
борати,approved,pdf_candidate,100,medium,needs_review,lowercase-entry|previous-line-closed,,
бордел,approved,pdf_candidate,101,medium,needs_review,lowercase-entry|previous-line-closed,,
бошњак,approved,pdf_candidate,102,medium,needs_review,inflection-after-comma|previous-line-closed|ocr-noise-near-entry,,
