word,decision,source,page,confidence,status,reason,hint,sort_order
агйлан,pending,pdf_candidate,19,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
агйлно,pending,pdf_candidate,19,low,ocr_suspect,lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
адитйв,pending,pdf_candidate,20,low,ocr_suspect,lowercase-entry|previous-line-closed|non-serbian-cyrillic-letter,,
аласкй,pending,pdf_candidate,26,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
аналнй,pending,pdf_candidate,33,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
анилйн,pending,pdf_candidate,35,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
бабињй,pending,pdf_candidate,56,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
базмнй,pending,pdf_candidate,58,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
белйља,pending,pdf_candidate,74,low,ocr_suspect,lowercase-entry|previous-line-closed|non-serbian-cyrillic-letter,,
бивољй,pending,pdf_candidate,82,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
биолйт,pending,pdf_candidate,85,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
биотйп,pending,pdf_candidate,85,low,ocr_suspect,lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
бйскуп,pending,pdf_candidate,86,low,ocr_suspect,lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
бйстар,pending,pdf_candidate,86,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
бйстро,pending,pdf_candidate,86,low,ocr_suspect,lowercase-entry|previous-line-closed|non-serbian-cyrillic-letter,,
брдскй,pending,pdf_candidate,106,low,ocr_suspect,lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
брезйк,pending,pdf_candidate,106,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|non-serbian-cyrillic-letter,,
бриднй,pending,pdf_candidate,108,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
бромйд,pending,pdf_candidate,112,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
бромнй,pending,pdf_candidate,112,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
брснйк,pending,pdf_candidate,112,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
бруснй,pending,pdf_candidate,113,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
буквйк,pending,pdf_candidate,116,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|non-serbian-cyrillic-letter,,
бусенй,pending,pdf_candidate,119,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
вампйр,pending,pdf_candidate,124,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
вањскй,pending,pdf_candidate,125,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
варйво,pending,pdf_candidate,125,low,ocr_suspect,lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
властй,pending,pdf_candidate,151,low,ocr_suspect,lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
водвйљ,pending,pdf_candidate,153,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|non-serbian-cyrillic-letter,,
водећй,pending,pdf_candidate,154,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
водйља,pending,pdf_candidate,154,low,ocr_suspect,lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
воднйк,pending,pdf_candidate,154,low,ocr_suspect,lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
возаћй,pending,pdf_candidate,156,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
возйља,pending,pdf_candidate,156,low,ocr_suspect,lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
вознйк,pending,pdf_candidate,156,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
впнскй,pending,pdf_candidate,144,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
врайца,pending,pdf_candidate,160,low,ocr_suspect,lowercase-entry|possible-wrapped-definition|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
вршаћй,pending,pdf_candidate,169,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
вршнйк,pending,pdf_candidate,169,low,ocr_suspect,lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
галскй,pending,pdf_candidate,176,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
гамбйт,pending,pdf_candidate,176,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|non-serbian-cyrillic-letter,,
геачкй,pending,pdf_candidate,180,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
гйбљем,pending,pdf_candidate,1162,low,ocr_suspect,lowercase-entry|possible-wrapped-definition|non-serbian-cyrillic-letter,,
гладйш,pending,pdf_candidate,189,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
глеђнй,pending,pdf_candidate,191,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
глежнй,pending,pdf_candidate,191,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
говеђй,pending,pdf_candidate,197,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
градйћ,pending,pdf_candidate,208,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
гранйк,pending,pdf_candidate,210,low,ocr_suspect,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry|non-serbian-cyrillic-letter,,
